timestamp,bono_normal,bono_cpu/limit,bono_cpu/request,bono_cpu/usage,bono_cpu/usage_rate,bono_filesystem/limit,bono_filesystem/usage,bono_memory/cache,bono_memory/limit,bono_memory/major_page_faults,bono_memory/major_page_faults_rate,bono_memory/page_faults,bono_memory/page_faults_rate,bono_memory/request,bono_memory/rss,bono_memory/usage,bono_memory/working_set,bono_uptime,bono_normal,homestead_normal,homestead_cpu/limit,homestead_cpu/request,homestead_cpu/usage,homestead_cpu/usage_rate,homestead_filesystem/limit,homestead_filesystem/usage,homestead_memory/cache,homestead_memory/limit,homestead_memory/major_page_faults,homestead_memory/major_page_faults_rate,homestead_memory/page_faults,homestead_memory/page_faults_rate,homestead_memory/request,homestead_memory/rss,homestead_memory/usage,homestead_memory/working_set,homestead_uptime,homestead_normal,sprout_normal,sprout_cpu/limit,sprout_cpu/request,sprout_cpu/usage,sprout_cpu/usage_rate,sprout_filesystem/limit,sprout_filesystem/usage,sprout_memory/cache,sprout_memory/limit,sprout_memory/major_page_faults,sprout_memory/major_page_faults_rate,sprout_memory/page_faults,sprout_memory/page_faults_rate,sprout_memory/request,sprout_memory/rss,sprout_memory/usage,sprout_memory/working_set,sprout_uptime,sprout_normal,bono_cpu,bono_mem,bono_io,homestead_cpu,homestead_mem,homestead_io,sprout_cpu,sprout_mem,sprout_io,normal
1529575680,1,0,0,260635114458,2,79680208896,1404928,4734976,0,0,0,14366822,170.1275634765625,0,84115456,88850432,88805376,80115532,1,0,0,0,2001512994948,254,79680208896,286720,685674496,0,0,0,10106958,128.81474304199222,0,128679936,814395392,814342144,80030466,0,1,0,0,6856560747236,763,79680208896,253952,71614464,0,0,0,23738390,334.6191101074219,0,1175060480,1246797824,1246756864,80110212,1,0,0,0,0,0,1,0,0,0,0
1529575700,1,0,0,260732017703,3,79680208896,1404928,4734976,0,0,0,14372310,185.0589904785156,0,84115456,88850432,88805376,80135505,1,0,0,0,2004562337529,256,79680208896,286720,686567424,0,0,0,10108330,115.20662689208984,0,128966656,815542272,815489024,80050383,0,1,0,0,6871522824461,766,79680208896,253952,71806976,0,0,0,23745057,341.3271789550781,0,1175060480,1246867456,1246826496,80130215,1,0,0,0,0,0,1,0,0,0,0
1529575720,1,0,0,260792330773,3,79680208896,1404928,4734976,0,0,0,14375692,192.55686950683602,0,84115456,88850432,88805376,80155553,1,0,0,0,2008595232552,251,79680208896,286720,687763456,0,0,0,10110454,132.43276977539062,0,129392640,817205248,817152000,80070459,0,1,0,0,6881211491909,748,79680208896,253952,71933952,0,0,0,23748963,301.80230712890625,0,1175089152,1247125504,1247084544,80150205,1,0,0,0,0,0,1,0,0,0,0
1529575740,1,0,0,260845273289,3,79680208896,1404928,4734976,0,0,0,14379335,264.10879516601557,0,84115456,88940544,88895488,80175495,1,0,0,0,2016755579449,246,79680208896,286720,690229248,0,0,0,10114019,107.8686981201172,0,130273280,820559872,820506624,80090480,0,1,0,0,6895343184859,772,79680208896,253952,72118272,0,0,0,23754912,325.3122253417969,0,1175060480,1247293440,1247252480,80170245,1,0,0,0,0,0,1,0,0,0,0
1529575760,1,0,0,260923623297,2,79680208896,1404928,4734976,0,0,0,14382757,118.5782470703125,0,84115456,88940544,88895488,80195521,1,0,0,0,2021144125743,248,79680208896,286720,691544064,0,0,0,10116221,124.77581024169922,0,130985984,822599680,822546432,80110450,0,1,0,0,6922965662234,752,79680208896,253952,72478720,0,0,0,23766031,302.72625732421875,0,1175060480,1247604736,1247563776,80190211,1,0,0,0,0,0,1,0,0,0,0
1529575780,1,0,0,260966104756,4,79680208896,1404928,4734976,0,0,0,14385498,264.11602783203125,0,84115456,88850432,88805376,80215488,1,0,0,0,2024893723801,249,79680208896,286720,692662272,0,0,0,10117645,94.74745178222656,0,131436544,824221696,824168448,80130508,0,1,0,0,6937624143437,770,79680208896,253952,72658944,0,0,0,23772801,355.6455383300781,0,1175060480,1247719424,1247678464,80210234,1,0,0,0,0,0,1,0,0,0,0
1529575800,1,0,0,261049776076,2,79680208896,1404928,4739072,0,0,0,14390084,164.30259704589844,0,84115456,88936448,88891392,80235483,1,0,0,0,2029454821872,246,79680208896,286720,694038528,0,0,0,10120094,132.44126892089844,0,132009984,826085376,826032128,80150425,0,1,0,0,6947561086496,766,79680208896,253952,72790016,0,0,0,23776645,296.3714294433594,0,1175060480,1247977472,1247936512,80230209,1,0,0,0,0,0,1,0,0,0,0
1529575820,1,0,0,261107987025,3,79680208896,1409024,4739072,0,0,0,14393725,242.1520538330078,0,84115456,88944640,88899584,80255550,1,0,0,0,2034430804335,254,79680208896,286720,695496704,0,0,0,10122527,124.19637298583984,0,132538368,828096512,828039168,80170483,0,1,0,0,6961908840387,756,79680208896,253952,72978432,0,0,0,23782422,304.6290588378906,0,1175060480,1248165888,1248124928,80250266,1,0,0,0,0,0,1,0,0,0,0
1529575840,1,0,0,261171721605,3,79680208896,1409024,4739072,0,0,0,14397384,207.91477966308602,0,84115456,88854528,88809472,80275426,1,0,0,0,2042029676276,246,79680208896,286720,697806848,0,0,0,10126279,121.47734832763672,0,133238784,831070208,831016960,80190499,0,1,0,0,6981248306054,773,79680208896,253952,73224192,0,0,0,23791271,353.8610534667969,0,1175060480,1248284672,1248243712,80270157,1,0,0,0,0,0,1,0,0,0,0
1529575860,1,0,0,261266604609,3,79680208896,1409024,4743168,0,0,0,14402614,175.08456420898438,0,84115456,88858624,88813568,80295457,1,0,0,0,2045422445539,245,79680208896,286720,698826752,0,0,0,10128314,147.162353515625,0,133693440,832630784,832577536,80210512,0,1,0,0,6993133521628,753,79680208896,253952,73379840,0,0,0,23795904,293.9047546386719,0,1175060480,1248559104,1248518144,80290220,1,0,0,0,0,0,1,0,0,0,0
