timestamp,cpu/limit,cpu/request,cpu/usage,cpu/usage_rate,filesystem/limit,filesystem/usage,memory/cache,memory/limit,memory/major_page_faults,memory/major_page_faults_rate,memory/page_faults,memory/page_faults_rate,memory/request,memory/rss,memory/usage,memory/working_set,uptime
1529508160,0,0,2503954049304,352,79680208896,253952,33599488,0,0,0,4111368,320.7872619628906,0,1155899392,1189498880,1189457920,12590260
1529508180,0,0,2514249245533,344,79680208896,253952,33751040,0,0,0,4120754,314.03167724609375,0,1156562944,1190375424,1190334464,12610242
1529508200,0,0,2520960069881,347,79680208896,253952,33849344,0,0,0,4126130,278.7724304199219,0,1156562944,1190412288,1190371328,12630211
1529508220,0,0,2528858544810,343,79680208896,253952,33959936,0,0,0,4133449,318.5450439453125,0,1156562944,1190604800,1190563840,12650229
1529508240,0,0,2534559918102,342,79680208896,253952,34045952,0,0,0,4138302,291.4882507324219,0,1157980160,1192148992,1192108032,12670225
1529508260,0,0,2540654360955,359,79680208896,253952,34127872,0,0,0,4143167,286.9194641113281,0,1157980160,1192108032,1192067072,12690176
1529508280,0,0,2546635743193,351,79680208896,253952,34213888,0,0,0,4148903,337.1590270996094,0,1158144000,1192448000,1192407040,12710174
1529508300,0,0,2553376018215,342,79680208896,253952,34312192,0,0,0,4154438,281.4323425292969,0,1158144000,1192583168,1192542208,12730257
1529508320,0,0,2558944499397,342,79680208896,253952,34394112,0,0,0,4160173,352.4647216796875,0,1158758400,1193238528,1193197568,12750168
1529508340,0,0,2565434204919,343,79680208896,253952,34492416,0,0,0,4165809,298.41961669921875,0,1158758400,1193373696,1193332736,12770163
1529508360,0,0,2576267811582,346,79680208896,253952,34643968,0,0,0,4174730,285.0888366699219,0,1158758400,1193525248,1193484288,12790260
1529508380,0,0,2581107019692,342,79680208896,253952,34717696,0,0,0,4178630,275.8782958984375,0,1158758400,1193598976,1193558016,12810220
1529508400,0,0,2586945469844,347,79680208896,253952,34799616,0,0,0,4184171,330.065185546875,0,1158758400,1193639936,1193598976,12830217
1529508420,0,0,2597023495352,349,79680208896,253952,34942976,0,0,0,4192573,291.0782165527344,0,1158758400,1193824256,1193783296,12850181
1529508440,0,0,2602165756446,343,79680208896,253952,35020800,0,0,0,4197062,299.7070007324219,0,1158758400,1193779200,1193738240,12870221
1529508460,0,0,2606693685154,340,79680208896,253952,35086336,0,0,0,4201683,347.2603454589844,0,1158758400,1193967616,1193926656,12890149
1529508480,0,0,2618095864924,345,79680208896,253952,35250176,0,0,0,4212142,316.7752990722656,0,1158758400,1194008576,1193967616,12910263
1529508500,0,0,2623441206059,349,79680208896,253952,35328000,0,0,0,4216202,265.1565246582031,0,1158758400,1194086400,1194045440,12930266
1529508520,0,0,2629112037950,341,79680208896,253952,35409920,0,0,0,4221031,290.8910827636719,0,1158758400,1194295296,1194254336,12950186
1529508540,0,0,2638306643862,348,79680208896,253952,35540992,0,0,0,4229777,331.4065856933594,0,1158758400,1194299392,1194258432,12970260
1529508560,0,0,2645265026447,356,79680208896,253952,35639296,0,0,0,4236339,336.0205078125,0,1158758400,1194483712,1194442752,12990243
1529508580,0,0,2650092468221,349,79680208896,253952,35708928,0,0,0,4240171,277.64410400390625,0,1158758400,1194586112,1194545152,13010221
1529508600,0,0,2659958787056,340,79680208896,253952,35856384,0,0,0,4249449,320.0636291503906,0,1158758400,1194614784,1194573824,13030243
1529508620,0,0,2666272386714,354,79680208896,253952,35942400,0,0,0,4254977,310.2272033691406,0,1158758400,1194827776,1194786816,13050216
