timestamp,homestead_cpu/limit,homestead_cpu/request,homestead_cpu/usage,homestead_cpu/usage_rate,homestead_filesystem/limit,homestead_filesystem/usage,homestead_memory/cache,homestead_memory/limit,homestead_memory/major_page_faults,homestead_memory/major_page_faults_rate,homestead_memory/page_faults,homestead_memory/page_faults_rate,homestead_memory/request,homestead_memory/rss,homestead_memory/usage,homestead_memory/working_set,homestead_uptime,sprout_cpu/limit,sprout_cpu/request,sprout_cpu/usage,sprout_cpu/usage_rate,sprout_filesystem/limit,sprout_filesystem/usage,sprout_memory/cache,sprout_memory/limit,sprout_memory/major_page_faults,sprout_memory/major_page_faults_rate,sprout_memory/page_faults,sprout_memory/page_faults_rate,sprout_memory/request,sprout_memory/rss,sprout_memory/usage,sprout_memory/working_set,sprout_uptime,bono_cpu/limit,bono_cpu/request,bono_cpu/usage,bono_cpu/usage_rate,bono_filesystem/limit,bono_filesystem/usage,bono_memory/cache,bono_memory/limit,bono_memory/major_page_faults,bono_memory/major_page_faults_rate,bono_memory/page_faults,bono_memory/page_faults_rate,bono_memory/request,bono_memory/rss,bono_memory/usage,bono_memory/working_set,bono_uptime
1529507400,0,0,606554247207,95,79680208896,282624,222273536,0,0,0,1570180,124.74098205566406,0,62423040,284819456,284762112,11750272,0,0,2237242452581,346,79680208896,253952,29810688,0,0,0,3881747,266.51968383789057,0,1191915520,1221849088,1221808128,11830267,0,0,38753001445,3,79680208896,434176,2908160,0,0,0,2161279,131.85029602050778,0,83980288,86970368,86925312,11835530
1529507420,0,0,608589688727,97,79680208896,282624,223059968,0,0,0,1572818,125.98283386230469,0,62668800,285794304,285736960,11770334,0,0,2244176596949,347,79680208896,253952,29908992,0,0,0,3887888,307.4789123535156,0,1190309888,1220345856,1220304896,11850249,0,0,38848517803,3,79680208896,434176,2912256,0,0,0,2166503,175.25376892089844,0,83980288,87019520,86970368,11855494
1529507440,0,0,609632660923,97,79680208896,282624,223453184,0,0,0,1573856,97.52780151367188,0,62849024,286408704,286351360,11790358,0,0,2249926066785,343,79680208896,253952,29995008,0,0,0,3892754,290.673828125,0,1190309888,1220431872,1220390912,11870315,0,0,38911443857,3,79680208896,434176,2912256,0,0,0,2170177,185.84336853027344,0,83980288,86978560,86933504,11875525
1529507460,0,0,612232933545,94,79680208896,282624,224485376,0,0,0,1577796,143.52874755859375,0,63344640,287936512,287879168,11810364,0,0,2261932450353,346,79680208896,253952,30167040,0,0,0,3903290,303.9762268066406,0,1190309888,1220603904,1220562944,11890210,0,0,38947943837,2,79680208896,434176,2912256,0,0,0,2172016,129.04116821289062,0,83980288,86892544,86847488,11895480
1529507480,0,0,613887043073,96,79680208896,282624,225120256,0,0,0,1580412,152.94601440429688,0,63598592,288804864,288747520,11830278,0,0,2267258627830,348,79680208896,253952,30244864,0,0,0,3908394,333.6654052734375,0,1190309888,1220677632,1220636672,11910342,0,0,39062160710,3,79680208896,438272,2912256,0,0,0,2179291,222.42442321777344,0,83980288,86892544,86847488,11915521
1529507500,0,0,615338700794,101,79680208896,282624,225652736,0,0,0,1581767,95.04598999023438,0,63782912,289488896,289431552,11850314,0,0,2273225629630,341,79680208896,253952,30330880,0,0,0,3913512,292.5552978515625,0,1190309888,1220640768,1220599808,11930294,0,0,39094857942,2,79680208896,438272,2912256,0,0,0,2181133,150.4766387939453,0,83980288,86892544,86847488,11935525
1529507520,0,0,618334647469,97,79680208896,282624,226807808,0,0,0,1585126,108.85028076171876,0,64176128,291045376,290988032,11870330,0,0,2279162909720,356,79680208896,253952,30412800,0,0,0,3918574,303.89752197265625,0,1190309888,1220722688,1220681728,11950240,0,0,39133809965,2,79680208896,438272,2912256,0,0,0,2182990,121.70055389404295,0,83980288,86892544,86847488,11955483
1529507540,0,0,619516335750,94,79680208896,282624,227278848,0,0,0,1586805,134.00790405273438,0,64368640,291774464,291717120,11890358,0,0,2288558542329,358,79680208896,253952,30543872,0,0,0,3926518,303.29986572265625,0,1190309888,1220853760,1220812800,11970276,0,0,39196851204,3,79680208896,438272,2912256,0,0,0,2186671,184.36204528808597,0,83980288,86892544,86847488,11975530
1529507560,0,0,620768468659,96,79680208896,282624,227766272,0,0,0,1588809,153.79965209960938,0,64671744,292450304,292392960,11910367,0,0,2294043363547,344,79680208896,253952,30621696,0,0,0,3930512,251.181640625,0,1190309888,1221054464,1221013504,11990328,0,0,39299548315,3,79680208896,438272,2916352,0,0,0,2192801,190.53253173828125,0,83980288,86896640,86851584,11995453
1529507580,0,0,623316349031,94,79680208896,282624,228782080,0,0,0,1592107,121.75550079345705,0,65073152,293933056,293875712,11930406,0,0,2301822474412,340,79680208896,253952,30736384,0,0,0,3937919,324.5454406738281,0,1190309888,1221046272,1221005312,12010291,0,0,39342476191,3,79680208896,438272,2916352,0,0,0,2195546,233.2038116455078,0,83980288,86962176,86917120,12015526
