timestamp,cpu/limit,cpu/request,cpu/usage,cpu/usage_rate,filesystem/limit,filesystem/usage,memory/cache,memory/limit,memory/major_page_faults,memory/major_page_faults_rate,memory/page_faults,memory/page_faults_rate,memory/request,memory/rss,memory/usage,memory/working_set,uptime
1529508060,0,0,669985458355,95,79680208896,282624,246956032,0,0,0,1649901,129.5135040283203,0,72364032,319324160,319266816,12410414
1529508080,0,0,671633226610,95,79680208896,282624,247603200,0,0,0,1652217,134.33908081054688,0,72523776,320163840,320106496,12430298
1529508100,0,0,673355311741,95,79680208896,282624,248279040,0,0,0,1654214,110.28292083740234,0,72765440,321155072,321097728,12450364
1529508120,0,0,675706321487,95,79680208896,282624,249204736,0,0,0,1657242,122.65081787109375,0,73207808,322510848,322453504,12470349
1529508140,0,0,677368639283,96,79680208896,282624,249847808,0,0,0,1659592,135.97100830078125,0,73474048,323444736,323387392,12490349
1529508160,0,0,678736860101,92,79680208896,282624,250400768,0,0,0,1660940,90.826904296875,0,73674752,324186112,324128768,12510335
1529508180,0,0,680165781965,93,79680208896,282624,250974208,0,0,0,1663518,169.0651092529297,0,73871360,324902912,324845568,12530337
1529508200,0,0,683186825523,95,79680208896,282624,252166144,0,0,0,1666933,107.43508911132812,0,74317824,326602752,326545408,12550281
1529508220,0,0,684442717434,95,79680208896,282624,252653568,0,0,0,1668003,81.35797882080078,0,74522624,327245824,327188480,12570324
1529508240,0,0,686679581429,93,79680208896,282624,253546496,0,0,0,1671344,140.26145935058594,0,74846208,328495104,328437760,12590272
1529508260,0,0,687726194249,93,79680208896,282624,253968384,0,0,0,1672662,117.34105682373047,0,74993664,329052160,328994816,12610260
1529508280,0,0,690702770764,92,79680208896,282624,255164416,0,0,0,1676069,106.39901733398438,0,75456512,330698752,330641408,12630287
1529508300,0,0,692010154606,96,79680208896,282624,255668224,0,0,0,1677419,99.87213134765625,0,75714560,331444224,331386880,12650378
1529508320,0,0,693873197272,95,79680208896,282624,256397312,0,0,0,1679758,120.3244400024414,0,75935744,332419072,332361728,12670357
1529508340,0,0,696656847585,95,79680208896,282624,257490944,0,0,0,1683466,126.67705535888672,0,76419072,334016512,333959168,12690348
1529508360,0,0,698491569930,95,79680208896,282624,258215936,0,0,0,1685831,122.70431518554688,0,76767232,335024128,334966784,12710307
1529508380,0,0,699854606851,94,79680208896,282624,258752512,0,0,0,1687524,117.00765228271484,0,76922880,335675392,335618048,12730305
1529508400,0,0,701021644818,94,79680208896,282624,259215360,0,0,0,1689201,135.78094482421875,0,77099008,336441344,336384000,12750333
1529508420,0,0,703714399151,96,79680208896,282624,260259840,0,0,0,1692553,120.24464416503906,0,77438976,337698816,337641472,12770351
